id,code,name,active,status,model_node_name,glb_node_name,old_x,old_z,current_x,current_z,delta
a374ca43-3f3a-11f1-b497-d843ae05cb18,LAB-IND,LAB. ING. INDUSTRIAL,true,matched,Laboratorio_Ing_Industrial,Laboratorio_Ing_Industrial,74.776,114.2696,33.655,117.937,41.2842
7ede7760-6436-11f1-9da2-d843ae05cb18,LAB-MEC,DPTO. LAB. ING. MECÁNICA,true,matched,Lab_Depto_Ing_Mecanica_Lab_Quimaca_Pesada,Lab_Depto_Ing_Mecanica_Lab_Quimaca_Pesada,-42.2376,-90.0708,26.9331,-68.1119,72.5726
7ede77d3-6436-11f1-9da2-d843ae05cb18,LAB-MICR,LAB. MICR.- TITULACIÓN - AULA DIBUJO - BAÑOS,true,matched,Lab_Microscopia_Sala_Titulacion_Aula_Dibujo,Lab_Microscopia_Sala_Titulacion_Aula_Dibujo,-107.8888,-37.3687,-34.0998,-58.4886,76.752
7ede7867-6436-11f1-9da2-d843ae05cb18,LAB-QP,LAB. QUÍMICA PESADA,true,matched,Lab_Depto_Ing_Mecanica_Lab_Quimaca_Pesada,Lab_Depto_Ing_Mecanica_Lab_Quimaca_Pesada,-42.2376,-90.0708,26.9331,-68.1119,72.5726
75a94c1b-52ec-11f1-a7fc-d843ae05cb18,LAB-QUI,Laboratorio de Química,true,matched,Laboratorio_Fisico_Quimica,Laboratorio_Fisico_Quimica,-22,-18,16.2681,-18.1562,38.2684
7ede78c3-6436-11f1-9da2-d843ae05cb18,LAB-SIM,LAB. DE SIMULACIÓN,true,matched,Lab_Simulacion,Lab_Simulacion,-54.3715,-148.9236,42.6357,-106.7305,105.7859
4eb17a7e-7ef8-11f1-8a16-d0460c699407,M,Edificio M,true,matched,Aula_M,Aula_M,74,10,73.6617,16.0164,6.0259
7ede796d-6436-11f1-9da2-d843ae05cb18,MAE-ADM,M. ADMINISTRACIÓN,true,matched,Maestria_Administracion,Maestria_Administracion,20.8673,173.4258,-28.0887,129.4412,65.8129
7ede79c3-6436-11f1-9da2-d843ae05cb18,MAE-CON,MAESTRÍA EN CONSTRUCCIÓN,true,matched,Maestria_cosntruccion,Maestria_cosntruccion,-164.2005,-100.3312,-46.211,-123.1921,120.1838
7ede7a15-6436-11f1-9da2-d843ae05cb18,MAE-DOC,MAESTRÍA EN DOCENCIA,true,matched,Matria_Docencia_Sala_Educacion_distancia,Matria_Docencia_Sala_Educacion_distancia,-88.5102,-85.5915,-0.969,-87.6481,87.5654
7ede7a69-6436-11f1-9da2-d843ae05cb18,MC,EDIFICIO MULTICARRERA,false,missing-node,Edificios 3D 16 en emplazamiento plano,,,,,,
7ede7aba-6436-11f1-9da2-d843ae05cb18,N,AULA Ñ,true,matched,Aula_Ñ,Aula_Ñ,57.6345,-151.0679,116.7182,-75.4928,95.9296
a374c9ee-3f3a-11f1-b497-d843ae05cb18,NEW,Edificio Nuevo,true,matched,Edificio_Nuevo,Edificio_Nuevo,-65.6091,152.9491,-84.739,88.1865,67.5289
7ede7b10-6436-11f1-9da2-d843ae05cb18,O,AULA O,false,missing-node,Edificios 3D 18 en emplazamiento plano,,,,,,
75a955eb-52ec-11f1-a7fc-d843ae05cb18,POS,Posgrado,false,missing-node,Edificio de Postgrado.001,,,,,,
7ede7b96-6436-11f1-9da2-d843ae05cb18,PTR,PLANTA DE TRATAM. DE AGUAS RESID.,false,missing-node,Edificios 3D 10 en emplazamiento plano,,,,,,
a374ca2e-3f3a-11f1-b497-d843ae05cb18,Q,Edificio Q,true,matched,Edificio_Q,Edificio_Q,66.3532,80.9748,46.6227,83.7022,19.9181
